Amostra,Codigo_Digital,Tensao_ADC_V,Tensao_Real_V
10729,0x800B,0.0034,0.1722
10730,0x800B,0.0034,0.1722
10731,0x800C,0.0037,0.1878
10732,0x800B,0.0034,0.1722
10733,0x800B,0.0034,0.1722
10734,0x800B,0.0034,0.1722
10735,0x800B,0.0034,0.1722
10736,0x800C,0.0037,0.1878
10737,0x800C,0.0037,0.1878
10738,0x800D,0.0041,0.2035
10739,0x800C,0.0037,0.1878
10740,0x800C,0.0037,0.1878
10741,0x800C,0.0037,0.1878
10742,0x800D,0.0041,0.2035
10743,0x800C,0.0037,0.1878
10744,0x800B,0.0034,0.1722
10745,0x800C,0.0037,0.1878
10746,0x800C,0.0037,0.1878
10747,0x800B,0.0034,0.1722
10748,0x800C,0.0037,0.1878
10749,0x800B,0.0034,0.1722
10750,0x800B,0.0034,0.1722
10751,0x800C,0.0037,0.1878
10752,0x800C,0.0037,0.1878
10753,0x800C,0.0037,0.1878
10754,0x800C,0.0037,0.1878
10755,0x800D,0.0041,0.2035
10756,0x800C,0.0037,0.1878
10757,0x800D,0.0041,0.2035
10758,0x800D,0.0041,0.2035
10759,0x800C,0.0037,0.1878
10760,0x800B,0.0034,0.1722
10761,0x800C,0.0037,0.1878
10762,0x800C,0.0037,0.1878
10763,0x800C,0.0037,0.1878
10764,0x800C,0.0037,0.1878
10765,0x800C,0.0037,0.1878
10766,0x800C,0.0037,0.1878
10767,0x800B,0.0034,0.1722
10768,0x800B,0.0034,0.1722
10769,0x800B,0.0034,0.1722
10770,0x800C,0.0037,0.1878
10771,0x800C,0.0037,0.1878
10772,0x800D,0.0041,0.2035
10773,0x800B,0.0034,0.1722
10774,0x800C,0.0037,0.1878
10775,0x800C,0.0037,0.1878
10776,0x800C,0.0037,0.1878
10777,0x800B,0.0034,0.1722
10778,0x800C,0.0037,0.1878
10779,0x800B,0.0034,0.1722
10780,0x800C,0.0037,0.1878
10781,0x800C,0.0037,0.1878
10782,0x800B,0.0034,0.1722
10783,0x800C,0.0037,0.1878
10784,0x800C,0.0037,0.1878
10785,0x800C,0.0037,0.1878
10786,0x800B,0.0034,0.1722
10787,0x800C,0.0037,0.1878
10788,0x800C,0.0037,0.1878
10789,0x800B,0.0034,0.1722
10790,0x800B,0.0034,0.1722
10791,0x800D,0.0041,0.2035
10792,0x800D,0.0041,0.2035
10793,0x800C,0.0037,0.1878
10794,0x800C,0.0037,0.1878
10795,0x800C,0.0037,0.1878
10796,0x800C,0.0037,0.1878
10797,0x800C,0.0037,0.1878
10798,0x800C,0.0037,0.1878
10799,0x800B,0.0034,0.1722
10800,0x800C,0.0037,0.1878
10801,0x800B,0.0034,0.1722
10802,0x800C,0.0037,0.1878
10803,0x800B,0.0034,0.1722
10804,0x800C,0.0037,0.1878
10805,0x800C,0.0037,0.1878
10806,0x800C,0.0037,0.1878
10807,0x800C,0.0037,0.1878
10808,0x800C,0.0037,0.1878
10809,0x800C,0.0037,0.1878
10810,0x800C,0.0037,0.1878
10811,0x800C,0.0037,0.1878
10812,0x800C,0.0037,0.1878
10813,0x800C,0.0037,0.1878
10814,0x800D,0.0041,0.2035
10815,0x800B,0.0034,0.1722
10816,0x800B,0.0034,0.1722
10817,0x800C,0.0037,0.1878
10818,0x800B,0.0034,0.1722
10819,0x800C,0.0037,0.1878
10820,0x800B,0.0034,0.1722
10821,0x800C,0.0037,0.1878
10822,0x800D,0.0041,0.2035
10823,0x800C,0.0037,0.1878
10824,0x800C,0.0037,0.1878
10825,0x800C,0.0037,0.1878
10826,0x800D,0.0041,0.2035
10827,0x800C,0.0037,0.1878
10828,0x800B,0.0034,0.1722
10829,0x800C,0.0037,0.1878
10830,0x800C,0.0037,0.1878
10831,0x800C,0.0037,0.1878
10832,0x800B,0.0034,0.1722
10833,0x800B,0.0034,0.1722
10834,0x800C,0.0037,0.1878
10835,0x800D,0.0041,0.2035
10836,0x800C,0.0037,0.1878
10837,0x800C,0.0037,0.1878
10838,0x800C,0.0037,0.1878
10839,0x800B,0.0034,0.1722
10840,0x800D,0.0041,0.2035
10841,0x800C,0.0037,0.1878
10842,0x800D,0.0041,0.2035
10843,0x800C,0.0037,0.1878
10844,0x800C,0.0037,0.1878
10845,0x800C,0.0037,0.1878
10846,0x800C,0.0037,0.1878
10847,0x800B,0.0034,0.1722
10848,0x800C,0.0037,0.1878
10849,0x800C,0.0037,0.1878
10850,0x800A,0.0031,0.1565
10851,0x800C,0.0037,0.1878
10852,0x800B,0.0034,0.1722
10853,0x800C,0.0037,0.1878
10854,0x800C,0.0037,0.1878
10855,0x800C,0.0037,0.1878
10856,0x800C,0.0037,0.1878
10857,0x800E,0.0044,0.2191
10858,0x800C,0.0037,0.1878
10859,0x800B,0.0034,0.1722
10860,0x800C,0.0037,0.1878
10861,0x800C,0.0037,0.1878
10862,0x800B,0.0034,0.1722
10863,0x800C,0.0037,0.1878
10864,0x800D,0.0041,0.2035
10865,0x800B,0.0034,0.1722
10866,0x800B,0.0034,0.1722
10867,0x800B,0.0034,0.1722
10868,0x800B,0.0034,0.1722
10869,0x800C,0.0037,0.1878
10870,0x800C,0.0037,0.1878
10871,0x800C,0.0037,0.1878
10872,0x800C,0.0037,0.1878
10873,0x800C,0.0037,0.1878
10874,0x800C,0.0037,0.1878
10875,0x800C,0.0037,0.1878
10876,0x800C,0.0037,0.1878
10877,0x800C,0.0037,0.1878
10878,0x800C,0.0037,0.1878
10879,0x800C,0.0037,0.1878
10880,0x800C,0.0037,0.1878
10881,0x800C,0.0037,0.1878
10882,0x800C,0.0037,0.1878
10883,0x800C,0.0037,0.1878
10884,0x800C,0.0037,0.1878
10885,0x800C,0.0037,0.1878
10886,0x800C,0.0037,0.1878
10887,0x800C,0.0037,0.1878
10888,0x800B,0.0034,0.1722
10889,0x800B,0.0034,0.1722
10890,0x800C,0.0037,0.1878
10891,0x800C,0.0037,0.1878
10892,0x800D,0.0041,0.2035
10893,0x800B,0.0034,0.1722
10894,0x800C,0.0037,0.1878
10895,0x800C,0.0037,0.1878
10896,0x800C,0.0037,0.1878
10897,0x800B,0.0034,0.1722
10898,0x800C,0.0037,0.1878
10899,0x800B,0.0034,0.1722
10900,0x800C,0.0037,0.1878
10901,0x800B,0.0034,0.1722
10902,0x800C,0.0037,0.1878
10903,0x800C,0.0037,0.1878
10904,0x800B,0.0034,0.1722
10905,0x800C,0.0037,0.1878
10906,0x800C,0.0037,0.1878
10907,0x800C,0.0037,0.1878
10908,0x800B,0.0034,0.1722
10909,0x800C,0.0037,0.1878
10910,0x800C,0.0037,0.1878
10911,0x800B,0.0034,0.1722
10912,0x800C,0.0037,0.1878
10913,0x800C,0.0037,0.1878
10914,0x800B,0.0034,0.1722
10915,0x800C,0.0037,0.1878
10916,0x800B,0.0034,0.1722
10917,0x800B,0.0034,0.1722
10918,0x800B,0.0034,0.1722
10919,0x800C,0.0037,0.1878
10920,0x800B,0.0034,0.1722
10921,0x800B,0.0034,0.1722
10922,0x800B,0.0034,0.1722
10923,0x800C,0.0037,0.1878
10924,0x800C,0.0037,0.1878
10925,0x800C,0.0037,0.1878
10926,0x800D,0.0041,0.2035
10927,0x800B,0.0034,0.1722
10928,0x800C,0.0037,0.1878
10929,0x800C,0.0037,0.1878
