Amostra,Codigo_Digital,Tensao_V
2879,0x7FFF,-0.0003
2880,0x7FFE,-0.0006
2881,0x8000,0.0000
2882,0x7FFF,-0.0003
2883,0x7FFF,-0.0003
2884,0x8000,0.0000
2885,0x7FFF,-0.0003
2886,0x7FFF,-0.0003
2887,0x7FFF,-0.0003
2888,0x7FFF,-0.0003
2889,0x7FFF,-0.0003
2890,0x7FFF,-0.0003
2891,0x7FFF,-0.0003
2892,0x7FFE,-0.0006
2893,0x8000,0.0000
2894,0x7FFE,-0.0006
2895,0x7FFE,-0.0006
2896,0x7FFF,-0.0003
2897,0x8000,0.0000
2898,0x7FFF,-0.0003
2899,0x7FFF,-0.0003
2900,0x7FFE,-0.0006
2901,0x8000,0.0000
2902,0x7FFF,-0.0003
2903,0x7FFF,-0.0003
2904,0x8000,0.0000
2905,0x8000,0.0000
2906,0x8000,0.0000
2907,0x7FFF,-0.0003
2908,0x8000,0.0000
2909,0x7FFF,-0.0003
2910,0x7FFF,-0.0003
2911,0x8000,0.0000
2912,0x7FFF,-0.0003
2913,0x8000,0.0000
2914,0x7FFF,-0.0003
2915,0x7FFF,-0.0003
2916,0x7FFF,-0.0003
2917,0x7FFF,-0.0003
2918,0x7FFF,-0.0003
2919,0x7FFE,-0.0006
2920,0x8000,0.0000
2921,0x8000,0.0000
2922,0x8000,0.0000
2923,0x8000,0.0000
2924,0x8000,0.0000
2925,0x7FFE,-0.0006
2926,0x7FFE,-0.0006
2927,0x8000,0.0000
2928,0x7FFF,-0.0003
2929,0x7FFF,-0.0003
2930,0x7FFE,-0.0006
2931,0x7FFF,-0.0003
2932,0x7FFF,-0.0003
2933,0x7FFF,-0.0003
2934,0x8000,0.0000
2935,0x7FFF,-0.0003
2936,0x7FFE,-0.0006
2937,0x7FFF,-0.0003
2938,0x7FFF,-0.0003
2939,0x7FFF,-0.0003
2940,0x7FFF,-0.0003
2941,0x7FFE,-0.0006
2942,0x7FFF,-0.0003
2943,0x7FFF,-0.0003
2944,0x7FFF,-0.0003
2945,0x7FFF,-0.0003
2946,0x7FFF,-0.0003
2947,0x8000,0.0000
2948,0x7FFF,-0.0003
2949,0x7FFF,-0.0003
2950,0x7FFF,-0.0003
2951,0x7FFF,-0.0003
2952,0x8000,0.0000
2953,0x7FFF,-0.0003
2954,0x7FFF,-0.0003
2955,0x7FFF,-0.0003
2956,0x8000,0.0000
2957,0x8000,0.0000
2958,0x7FFF,-0.0003
2959,0x7FFF,-0.0003
2960,0x7FFF,-0.0003
2961,0x7FFF,-0.0003
2962,0x7FFF,-0.0003
2963,0x7FFF,-0.0003
2964,0x7FFE,-0.0006
2965,0x7FFF,-0.0003
2966,0x7FFE,-0.0006
2967,0x7FFF,-0.0003
2968,0x8000,0.0000
2969,0x7FFF,-0.0003
2970,0x7FFF,-0.0003
2971,0x7FFE,-0.0006
2972,0x7FFF,-0.0003
2973,0x7FFF,-0.0003
2974,0x7FFF,-0.0003
2975,0x7FFF,-0.0003
2976,0x7FFF,-0.0003
