Amostra,Codigo_Digital,Tensao_ADC_V,Tensao_Real_V
167,0xF668,9.4700,182.5079
168,0xF76B,9.5490,184.0309
169,0xE4AB,8.0474,155.0915
170,0xCAA9,5.9656,114.9701
171,0x9F0E,2.4766,47.7304
172,0x7159,-1.1797,-22.7354
173,0x49BC,-4.3479,-83.7937
174,0x2329,-7.4323,-143.2382
175,0x0C3F,-9.2636,-178.5309
176,0x07D4,-9.6151,-185.3054
177,0x12FF,-8.7199,-168.0532
178,0x29E5,-6.8867,-132.7223
179,0x51FB,-3.6791,-70.9043
180,0x8021,0.0128,0.2466
181,0xA863,3.2328,62.3029
182,0xD254,6.5868,126.9420
183,0xED73,8.7547,168.7231
184,0xF7E6,9.5887,184.7966
185,0xF364,9.2263,177.8110
186,0xDE5A,7.5416,145.3442
187,0xBC85,4.8341,93.1639
188,0x9023,1.2832,24.7303
189,0x6469,-2.2145,-42.6780
190,0x3A82,-5.5655,-107.2609
191,0x1AD7,-8.0974,-156.0548
192,0x09AC,-9.4689,-182.4876
193,0x0878,-9.5632,-184.3056
194,0x1BD5,-8.0126,-154.4208
195,0x3550,-5.9729,-115.1124
196,0x60FB,-2.4790,-47.7763
197,0x8EFE,1.2017,23.1591
198,0xB6C4,4.3827,84.4642
199,0xDD38,7.4574,143.7219
200,0xF410,9.2831,178.9062
201,0xF83A,9.6143,185.2892
202,0xEC4A,8.6575,166.8508
203,0xD5E8,6.8656,132.3149
204,0xADB5,3.6489,70.3223
205,0x7FBC,-0.0289,-0.5574
206,0x57DE,-3.2177,-62.0116
207,0x2DA2,-6.5951,-127.1024
208,0x1231,-8.7886,-169.3772
209,0x0878,-9.5645,-184.3305
210,0x0EC0,-9.0602,-174.6113
211,0x21ED,-7.5247,-145.0174
212,0x4361,-4.8474,-93.4212
213,0x6FC6,-1.2956,-24.9695
214,0x9B88,2.2046,42.4870
215,0xC595,5.5675,107.2988
216,0xE548,8.1018,156.1408
217,0xF641,9.4578,182.2726
218,0xF796,9.5624,184.2894
219,0xE5AE,8.1283,156.6505
220,0xCAE5,5.9843,115.3305
221,0x9F12,2.4778,47.7535
222,0x713E,-1.1882,-22.8989
223,0x49B3,-4.3507,-83.8488
224,0x232E,-7.4308,-143.2089
225,0x0CEF,-9.2087,-177.4721
226,0x07D0,-9.6164,-185.3306
227,0x139A,-8.6716,-167.1210
228,0x2A22,-6.8677,-132.3562
229,0x5247,-3.6554,-70.4480
230,0x8033,0.0183,0.3535
231,0xA87A,3.2399,62.4399
232,0xD24C,6.5842,126.8924
233,0xED6C,8.7524,168.6795
234,0xF7C0,9.5768,184.5663
235,0xF311,9.2002,177.3098
236,0xDE37,7.5306,145.1322
237,0xBC45,4.8140,92.7773
238,0x9001,1.2725,24.5244
239,0x6465,-2.2158,-42.7032
240,0x3A71,-5.5709,-107.3644
241,0x1AC4,-8.1034,-156.1703
242,0x099E,-9.4733,-182.5730
243,0x0906,-9.5189,-183.4517
244,0x1B33,-8.0633,-155.3975
245,0x3538,-5.9805,-115.2580
246,0x60D6,-2.4906,-48.0001
247,0x8EDC,1.1910,22.9534
248,0xB6A7,4.3736,84.2887
249,0xDD06,7.4418,143.4199
250,0xF405,9.2796,178.8391
251,0xF868,9.6286,185.5653
252,0xED07,8.7166,167.9879
253,0xD677,6.9102,133.1748
254,0xADDE,3.6616,70.5679
255,0x7FDC,-0.0190,-0.3661
256,0x57BC,-3.2283,-62.2177
257,0x2D91,-6.6005,-127.2061
258,0x1215,-8.7975,-169.5471
259,0x087B,-9.5637,-184.3137
260,0x0CCA,-9.2171,-177.6353
261,0x21E9,-7.5259,-145.0421
262,0x43A0,-4.8278,-93.0425
263,0x7019,-1.2697,-24.4705
264,0x9BA4,2.2133,42.6548
265,0xC58C,5.5647,107.2437
