Amostra,Codigo_Digital,Tensao_ADC_V,Tensao_Real_V
166,0x4244,-4.9387,-247.3865
167,0x1FB8,-7.7025,-385.8252
168,0x0BEA,-9.2869,-465.1880
169,0x0832,-9.5844,-480.0901
170,0x171A,-8.3919,-420.3567
171,0x2F49,-6.4572,-323.4464
172,0x58E9,-3.1272,-156.6437
173,0x86DD,0.5491,27.5030
174,0xAEB9,3.7378,187.2304
175,0xD79C,7.0087,351.0746
176,0xEFCE,8.9444,448.0319
177,0xF7FF,9.5997,480.8571
178,0xF04E,8.9844,450.0355
179,0xDAC4,7.2613,363.7226
180,0xB5BD,4.2991,215.3440
181,0x889E,0.6894,34.5314
182,0x5E94,-2.6737,-133.9306
183,0x3463,-6.0491,-303.0031
184,0x18DC,-8.2513,-413.3126
185,0x09A0,-9.4700,-474.3609
186,0x09E1,-9.4497,-473.3435
187,0x1E98,-7.7925,-390.3334
188,0x3BCF,-5.4553,-273.2616
189,0x67E5,-1.9284,-96.5972
190,0x94B6,1.6569,82.9944
191,0xBD52,4.9056,245.7272
192,0xE05B,7.7084,386.1227
193,0xF4B5,9.3366,467.6769
194,0xF801,9.6003,480.8884
195,0xE8D9,8.3878,420.1532
196,0xD11C,6.4887,325.0274
197,0xA724,3.1312,156.8472
198,0x7974,-0.5238,-26.2351
199,0x5158,-3.7325,-186.9643
200,0x28A5,-6.9884,-350.0572
201,0x1054,-8.9338,-447.4997
202,0x081A,-9.5919,-480.4657
203,0x0FE1,-8.9697,-449.2998
204,0x2517,-7.2728,-364.3018
205,0x4A12,-4.3144,-216.1110
206,0x7708,-0.7175,-35.9402
207,0xA16B,2.6734,133.9149
208,0xCB80,6.0400,302.5491
209,0xE7BA,8.2981,415.6606
210,0xF67E,9.4794,474.8305
211,0xF676,9.4769,474.7053
212,0xE227,7.8522,393.3232
213,0xC4CF,5.5047,275.7348
214,0x989F,1.9697,98.6634
215,0x6B8E,-1.6356,-81.9299
216,0x42E5,-4.8884,-244.8663
217,0x1FC8,-7.6975,-385.5748
218,0x0CEA,-9.2069,-461.1807
219,0x0819,-9.5922,-480.4814
220,0x170D,-8.3959,-420.5602
221,0x2EC2,-6.4994,-325.5596
222,0x58A9,-3.1472,-157.6455
223,0x8687,0.5222,26.1568
224,0xAE74,3.7162,186.1503
225,0xD731,6.9753,349.3997
226,0xEE71,8.8353,442.5688
227,0xF76C,9.5538,478.5560
228,0xF013,8.9659,449.1120
229,0xDA94,7.2463,362.9713
230,0xB5E1,4.3103,215.9075
231,0x88F1,0.7153,35.8307
232,0x5EFC,-2.6412,-132.3026
233,0x34DA,-6.0119,-301.1403
234,0x18AE,-8.2656,-414.0327
235,0x094C,-9.4963,-475.6758
236,0x0B61,-9.3297,-467.3325
237,0x1E5C,-7.8113,-391.2726
238,0x3B2A,-5.5069,-275.8444
239,0x6718,-1.9925,-99.8061
240,0x9441,1.6203,81.1629
241,0xBCDF,4.8697,243.9271
242,0xE017,7.6872,385.0582
243,0xF48C,9.3237,467.0351
244,0xF80B,9.6034,481.0449
245,0xE964,8.4312,422.3289
246,0xD1AB,6.5334,327.2658
247,0xA7BF,3.1797,159.2734
248,0x79F5,-0.4834,-24.2158
249,0x51E2,-3.6894,-184.8041
250,0x2911,-6.9547,-348.3666
251,0x10A9,-8.9072,-446.1691
252,0x081D,-9.5909,-480.4188
253,0x0FA8,-8.9875,-450.1920
254,0x2535,-7.2634,-363.8322
255,0x49E4,-4.3288,-216.8310
256,0x76C3,-0.7391,-37.0203
257,0xA10E,2.6444,132.4592
258,0xCB1D,6.0091,300.9994
259,0xE81C,8.3287,417.1946
260,0xF6E1,9.5103,476.3802
261,0xF4F3,9.3559,468.6474
262,0xE22C,7.8538,393.4015
263,0xC4D5,5.5066,275.8287
264,0x9904,2.0013,100.2444
265,0x6C27,-1.5878,-79.5350
266,0x4327,-4.8678,-243.8332
267,0x2044,-7.6588,-383.6338
268,0x0B9B,-9.3116,-466.4246
269,0x0844,-9.5787,-479.8083
270,0x1621,-8.4697,-424.2543
271,0x2E61,-6.5297,-327.0780
272,0x57F3,-3.2041,-160.4944
273,0x85D1,0.4653,23.3079
274,0xAE09,3.6828,184.4754
275,0xD6C9,6.9428,347.7718
276,0xEF01,8.8803,444.8229
277,0xF7F9,9.5978,480.7632
278,0xF073,8.9959,450.6147
279,0xDB88,7.3225,366.7907
280,0xB68D,4.3641,218.5999
281,0x8999,0.7678,38.4604
282,0x5F45,-2.6184,-131.1599
283,0x353B,-5.9816,-299.6219
284,0x1973,-8.2041,-410.9489
285,0x092F,-9.5053,-476.1298
286,0x0AA9,-9.3872,-470.2128
287,0x1E50,-7.8150,-391.4604
288,0x3AED,-5.5259,-276.7992
289,0x66C7,-2.0178,-101.0741
290,0x93F6,1.5969,79.9889
291,0xBC7F,4.8397,242.4243
292,0xDFB7,7.6572,383.5555
293,0xF412,9.2856,465.1254
294,0xF816,9.6069,481.2171
295,0xE9FB,8.4784,424.6926
296,0xD1E5,6.5516,328.1737
297,0xA813,3.2059,160.5883
298,0x7A81,-0.4397,-22.0243
299,0x5246,-3.6581,-183.2388
300,0x2964,-6.9288,-347.0674
301,0x116E,-8.8456,-443.0854
302,0x082D,-9.5859,-480.1683
303,0x0FF4,-8.9637,-449.0024
304,0x24FA,-7.2819,-364.7557
305,0x4902,-4.3994,-220.3687
306,0x7604,-0.7987,-40.0101
307,0xA0A1,2.6103,130.7529
308,0xCABE,5.9794,299.5123
309,0xE774,8.2762,414.5649
310,0xF6D3,9.5059,476.1610
311,0xF666,9.4719,474.4548
312,0xE246,7.8619,393.8085
313,0xC5A1,5.5703,279.0220
314,0x997F,2.0397,102.1698
315,0x6C70,-1.5650,-78.3923
316,0x43C6,-4.8181,-241.3443
317,0x2073,-7.6441,-382.8980
318,0x0B9C,-9.3112,-466.4090
319,0x0802,-9.5994,-480.8414
320,0x1664,-8.4487,-423.2055
321,0x2E2F,-6.5453,-327.8607
322,0x57BD,-3.2209,-161.3397
323,0x856E,0.4344,21.7582
324,0xAD7C,3.6388,182.2683
325,0xD67D,6.9191,346.5821
326,0xEF2E,8.8944,445.5273
327,0xF7C5,9.5816,479.9492
328,0xF079,8.9978,450.7086
329,0xDB66,7.3119,366.2585
330,0xB6E0,4.3900,219.8991
331,0x8A43,0.8209,41.1215
332,0x5FC7,-2.5778,-129.1250
333,0x35A7,-5.9478,-297.9313
334,0x1923,-8.2291,-412.2012
335,0x09D3,-9.4541,-473.5626
336,0x09C3,-9.4591,-473.8130
337,0x1DA5,-7.8684,-394.1372
338,0x3A42,-5.5794,-279.4760
339,0x6622,-2.0694,-103.6569
340,0x936C,1.5538,77.8288
341,0xBBF6,4.7969,240.2798
342,0xDF70,7.6350,382.4441
343,0xF413,9.2859,465.1411
344,0xF835,9.6166,481.7024
345,0xEA3E,8.4994,425.7414
346,0xD23D,6.5791,329.5512
347,0xA8B0,3.2550,163.0459
348,0x7B13,-0.3941,-19.7389
349,0x52CD,-3.6159,-181.1256
350,0x29E4,-6.8888,-345.0638
351,0x1153,-8.8541,-443.5080
352,0x0847,-9.5778,-479.7613
353,0x0EF8,-9.0425,-452.9470
354,0x24AA,-7.3069,-366.0080
355,0x490E,-4.3956,-220.1809
356,0x7567,-0.8478,-42.4677
357,0xA022,2.5706,128.7650
358,0xCA3B,5.9384,297.4617
359,0xE75B,8.2684,414.1736
360,0xF65E,9.4694,474.3296
361,0xF662,9.4706,474.3922
362,0xE247,7.8622,393.8241
363,0xC5D9,5.5878,279.8986
364,0x99F4,2.0763,104.0013
365,0x6CDB,-1.5316,-76.7174
366,0x4455,-4.7734,-239.1058
367,0x20C1,-7.6197,-381.6771
368,0x0B99,-9.3122,-466.4559
369,0x0889,-9.5572,-478.7282
370,0x159D,-8.5109,-426.3206
371,0x2DB8,-6.5825,-329.7234
372,0x570A,-3.2769,-164.1416
373,0x84BF,0.3797,19.0189
374,0xAD0E,3.6044,180.5464
375,0xD5E7,6.8722,344.2341
376,0xEECC,8.8638,443.9933
377,0xF780,9.5600,478.8691
378,0xF0ED,9.0341,452.5244
379,0xDBC9,7.3428,367.8082
380,0xB75E,4.4294,221.8714
381,0x8ABE,0.8594,43.0469
382,0x6049,-2.5372,-127.0900
383,0x3600,-5.9200,-296.5382
384,0x198E,-8.1956,-410.5263
385,0x09C4,-9.4587,-473.7974
386,0x09FE,-9.4406,-472.8895
387,0x1D37,-7.9028,-395.8591
388,0x3A2A,-5.5869,-279.8517
389,0x65E7,-2.0878,-104.5804
390,0x9305,1.5216,76.2164
391,0xBB65,4.7516,238.0101
392,0xDF45,7.6216,381.7710
393,0xF49C,9.3287,467.2856
394,0xF816,9.6069,481.2171
395,0xE9D2,8.4656,424.0508
396,0xD2B2,6.6156,331.3827
397,0xA900,3.2800,164.2982
398,0x7B96,-0.3531,-17.6884
399,0x535C,-3.5712,-178.8872
400,0x2A39,-6.8622,-343.7332
401,0x122C,-8.7863,-440.1113
402,0x085F,-9.5703,-479.3857
403,0x0EC8,-9.0575,-453.6984
404,0x23CD,-7.3759,-369.4674
405,0x483E,-4.4606,-223.4368
406,0x74D0,-0.8950,-44.8314
407,0x9FA2,2.5306,126.7613
408,0xC9EC,5.9138,296.2251
409,0xE72D,8.2541,413.4535
410,0xF6A6,9.4919,475.4566
411,0xF653,9.4659,474.1574
412,0xE2D3,7.9059,396.0156
413,0xC683,5.6409,282.5597
414,0x9A82,2.1206,106.2240
415,0x6D3F,-1.5003,-75.1520
416,0x44F1,-4.7247,-236.6639
417,0x2110,-7.5950,-380.4404
418,0x0B7F,-9.3203,-466.8629
419,0x07E8,-9.6075,-481.2484
420,0x15BC,-8.5013,-425.8354
421,0x2D60,-6.6100,-331.1009
422,0x56C8,-3.2975,-165.1748
423,0x8460,0.3500,17.5318
424,0xAC81,3.5603,178.3393
425,0xD5AA,6.8531,343.2793
426,0xEEE4,8.8713,444.3690
427,0xF7C5,9.5816,479.9492
428,0xF0C5,9.0216,451.8983
429,0xDB90,7.3250,366.9159
430,0xB7F0,4.4750,224.1568
431,0x8B5A,0.9081,45.4888
432,0x60C1,-2.4997,-125.2116
433,0x3665,-5.8884,-294.9572
434,0x18DA,-8.2519,-413.3439
435,0x09AA,-9.4669,-474.2044
436,0x0A1C,-9.4312,-472.4199
437,0x1D21,-7.9097,-396.2034
438,0x394A,-5.6569,-283.3580
439,0x652C,-2.1463,-107.5076
440,0x9281,1.4803,74.1502
441,0xBAF1,4.7153,236.1943
442,0xDEF7,7.5972,380.5500
443,0xF4E3,9.3509,468.3970
444,0xF821,9.6103,481.3893
445,0xEA44,8.5013,425.8354
446,0xD309,6.6428,332.7445
447,0xA97E,3.3194,166.2705
448,0x7C0C,-0.3162,-15.8412
449,0x53CA,-3.5369,-177.1653
450,0x2AB3,-6.8241,-341.8235
451,0x1107,-8.8778,-444.6977
452,0x0888,-9.5575,-478.7439
453,0x0F3A,-9.0219,-451.9139
454,0x2436,-7.3431,-367.8238
455,0x481B,-4.4716,-223.9846
456,0x7472,-0.9244,-46.3028
457,0x9F3D,2.4991,125.1803
458,0xC964,5.8713,294.0963
459,0xE6C1,8.2203,411.7629
460,0xF64A,9.4631,474.0165
461,0xF60F,9.4447,473.0930
462,0xE31B,7.9284,397.1426
463,0xC6DD,5.6691,283.9685
464,0x9B0B,2.1634,108.3686
465,0x6DC0,-1.4600,-73.1327
466,0x4567,-4.6878,-234.8168
467,0x215E,-7.5706,-379.2195
468,0x0CB0,-9.2250,-462.0887
